"year","month","oni","month_type"
"2016","6","0","neutral"
"2016","7","-0.3","neutral"
"2016","8","-0.6","la Nina"
"2016","9","-0.7","la Nina"
"2016","10","-0.7","la Nina"
"2016","11","-0.7","la Nina"
"2016","12","-0.6","la Nina"
"2017","1","-0.3","neutral"
"2017","2","-0.1","neutral"
"2017","3","0.1","neutral"
"2017","4","0.3","neutral"
"2017","5","0.4","neutral"
"2017","6","0.4","neutral"
"2017","7","0.2","neutral"
"2017","8","-0.1","neutral"
"2017","9","-0.4","neutral"
"2017","10","-0.7","la Nina"
"2017","11","-0.9","la Nina"
"2017","12","-1","la Nina"
"2018","1","-0.9","la Nina"
"2018","2","-0.8","la Nina"
"2018","3","-0.6","la Nina"
"2018","4","-0.4","neutral"
"2018","5","-0.1","neutral"
"2018","6","0.1","neutral"
"2018","7","0.1","neutral"
"2018","8","0.2","neutral"
"2018","9","0.4","neutral"
